,region,statistikkvariabel,tid,boligbygging
0,0 Hele landet,Igangsatte boliger,1993-01-01,1072.0
1,0 Hele landet,Igangsatte boliger,1993-02-01,967.0
2,0 Hele landet,Igangsatte boliger,1993-03-01,1011.0
3,0 Hele landet,Igangsatte boliger,1993-04-01,915.0
4,0 Hele landet,Igangsatte boliger,1993-05-01,1093.0
5,0 Hele landet,Igangsatte boliger,1993-06-01,1126.0
6,0 Hele landet,Igangsatte boliger,1993-07-01,1393.0
7,0 Hele landet,Igangsatte boliger,1993-08-01,1400.0
8,0 Hele landet,Igangsatte boliger,1993-09-01,1654.0
9,0 Hele landet,Igangsatte boliger,1993-10-01,1684.0
10,0 Hele landet,Igangsatte boliger,1993-11-01,2057.0
11,0 Hele landet,Igangsatte boliger,1993-12-01,1516.0
12,0 Hele landet,Igangsatte boliger,1994-01-01,1417.0
13,0 Hele landet,Igangsatte boliger,1994-02-01,1149.0
14,0 Hele landet,Igangsatte boliger,1994-03-01,1288.0
15,0 Hele landet,Igangsatte boliger,1994-04-01,1422.0
16,0 Hele landet,Igangsatte boliger,1994-05-01,1680.0
17,0 Hele landet,Igangsatte boliger,1994-06-01,1810.0
18,0 Hele landet,Igangsatte boliger,1994-07-01,1622.0
19,0 Hele landet,Igangsatte boliger,1994-08-01,2173.0
20,0 Hele landet,Igangsatte boliger,1994-09-01,1939.0
21,0 Hele landet,Igangsatte boliger,1994-10-01,2279.0
22,0 Hele landet,Igangsatte boliger,1994-11-01,2222.0
23,0 Hele landet,Igangsatte boliger,1994-12-01,1976.0
24,0 Hele landet,Igangsatte boliger,1995-01-01,1783.0
25,0 Hele landet,Igangsatte boliger,1995-02-01,1290.0
26,0 Hele landet,Igangsatte boliger,1995-03-01,986.0
27,0 Hele landet,Igangsatte boliger,1995-04-01,1449.0
28,0 Hele landet,Igangsatte boliger,1995-05-01,1644.0
29,0 Hele landet,Igangsatte boliger,1995-06-01,1760.0
30,0 Hele landet,Igangsatte boliger,1995-07-01,1464.0
31,0 Hele landet,Igangsatte boliger,1995-08-01,1892.0
32,0 Hele landet,Igangsatte boliger,1995-09-01,1733.0
33,0 Hele landet,Igangsatte boliger,1995-10-01,2371.0
34,0 Hele landet,Igangsatte boliger,1995-11-01,2074.0
35,0 Hele landet,Igangsatte boliger,1995-12-01,1275.0
36,0 Hele landet,Igangsatte boliger,1996-01-01,1196.0
37,0 Hele landet,Igangsatte boliger,1996-02-01,1063.0
38,0 Hele landet,Igangsatte boliger,1996-03-01,920.0
39,0 Hele landet,Igangsatte boliger,1996-04-01,1298.0
40,0 Hele landet,Igangsatte boliger,1996-05-01,1549.0
41,0 Hele landet,Igangsatte boliger,1996-06-01,1812.0
42,0 Hele landet,Igangsatte boliger,1996-07-01,1337.0
43,0 Hele landet,Igangsatte boliger,1996-08-01,1732.0
44,0 Hele landet,Igangsatte boliger,1996-09-01,1799.0
45,0 Hele landet,Igangsatte boliger,1996-10-01,2167.0
46,0 Hele landet,Igangsatte boliger,1996-11-01,1503.0
47,0 Hele landet,Igangsatte boliger,1996-12-01,1892.0
48,0 Hele landet,Igangsatte boliger,1997-01-01,1527.0
49,0 Hele landet,Igangsatte boliger,1997-02-01,1288.0
50,0 Hele landet,Igangsatte boliger,1997-03-01,1330.0
51,0 Hele landet,Igangsatte boliger,1997-04-01,1896.0
52,0 Hele landet,Igangsatte boliger,1997-05-01,1546.0
